name,id,smc section,rhb section,f section,height m,height f,map 50,map 25,gref,gref2,x,y,air_closest,air_closest_x,air_closest_y,air_closest_pass_scotland,air_closest_pass_AF,air_closest_pass_AS,air_closest_pass_CA,air_closest_pass_EU,air_closest_pass_NA,air_closest_pass_OC,air_closest_pass_SA,air_closest_total,road_closest,road_closest_type,road_closest_numbers_2019_daily_av,road_closest_distance_m,road_closest_angle,road_closest_x,road_closest_y,station_closest_name,station_closest_line,station_closest_x,station_closest_y,station_closest_route_max_4_weeks,station_closest_route_commuter,station_closest_route_off peak,station_closest_route_peak,station_closest_route_total,station_closest_route_percent off peak
Beinn Liath Mhor Fannaich,255,14,14B,14.2,954,3130,20,436S,NH219724,NH2196072411,221960,872411,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A835,A Road,2414.327381,11167.75355,290.3940691,225851.6832,861943.2628,Achanalt,KYL,226025.9207,861474.6038,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Mhanach,32,2,02A,2.1,953,3127,50,OL48W 377E 378W,NN373411,NN3737041140,237370,741140,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,11186.26339,250.3324558,233605.1299,730606.3282,Tyndrum Upper,WHL,233436.849,730135.4975,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Mheadhoin,155,8,08A,8,1182.9,3881,36,OL57S 403S,NJ024016,NJ0246001695,302460,801695,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,B970,B Road,744.9473684,16331.95644,139.8131182,289983.3033,812233.7305,Aviemore,HGL2,289601.3314,812556.3719,2019/P08,31868,200738,112875,4085,0.576131615
Beinn na Lap,95,4,04B,4.2,935,3068,41,OL50 385W 393,NN376695,NN3761669585,237616,769585,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,3267.666657,238.2737972,235897.6625,766805.6185,Corrour,WHL,235634.7322,766380.3331,2019/P08,31868,200738,112875,4085,0.576131615
Beinn nan Aighenan,64,3,03C,3.3,960,3150,50,377W,NN148405,NN1485140528,214851,740528,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,B8077,B Road,,12788.66323,259.4969569,212519.7834,727953.6079,Loch Awe,OBN2,212428.6395,727461.9853,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Narnain,19,1,01D,1.4,927,3041,56,OL39S 364S,NN271066,NN2716806655,227168,706655,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A83,A Road,2596.6,4013.929161,331.5863513,230698.3922,704745.0371,Arrochar & Tarbet,WHL,231138.1598,704507.1202,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Sgritheall,182,10,10A,10.1,974,3196,33,413S,NG835126,NG8358812682,183588,812682,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A87,A Road,2096.384615,15664.17314,117.0050622,176475.3811,826638.2521,Kyle Of Lochalsh,KYL,176248.3465,827083.7353,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Sgulaird,59,3,03B,3.2,937,3074,50,384,NN053460,NN0530346088,205303,746088,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A828,A Road,2629.174603,15169.92439,251.4434935,200475.3269,731706.756,Taynuilt,OBN2,200316.207,731232.7509,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Sheasgarnaich [Beinn Heasgarnich],42,2,02B,2.2,1077.4,3535,51,OL48W 378W,NN413383,NN4138038339,241380,738339,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,10918.89229,225.9237672,233784.6564,730494.705,Tyndrum Upper,WHL,233436.849,730135.4975,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Tarsuinn,244,14,14A,14.1,937,3074,19,435S,NH039727,NH0396272794,203962,872794,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A832,A Road,1022.038961,18435.26641,311.0503636,216068.8482,858891.3645,Achnasheen,KYL,216397.2093,858514.2982,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Teallach,169,9,09C,9.3,914.6,3001,34 41,400,NN361859,NN3613685973,236136,785973,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,5281.665243,264.2424974,235606.1521,780717.9787,Tulloch,WHL,235555.9929,780220.501,2019/P08,31868,200738,112875,4085,0.576131615
Beinn Tulaichean,9,1,01C,1.3,945.8,3103,56,OL46N 365N,NN416196,NN4166019604,241660,719604,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A85,A Road,7041.860941,5859.577396,120.2259995,238710.2179,724666.9471,Crianlarich,WHL,238458.5119,725098.9703,2019/P08,31868,200738,112875,9093,0.576131615
Beinn Udlamain,107,5,05A,5,1010.2,3314,42,OL50 393,NN579739,NN5794573975,257945,773975,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A9,A Road,9965.581518,11747.61628,63.41219537,263202.866,784480.3002,Dalwhinnie,HGL2,263426.6504,784927.425,2019/P08,31868,200738,112875,4085,0.576131615
Ben Alder,105,4,04B,4.2,1148,3766,42,OL50 385E 393,NN496718,NN4961671855,249616,771855,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A86,A Road,1161.698413,14514.92015,201.3838984,236100.3114,766562.6407,Corrour,WHL,235634.7322,766380.3331,2019/P08,31868,200738,112875,4085,0.576131615
Ben Avon - Leabaidh an Daimh Bhuidhe,159,8,08B,8,1171,3842,36,OL58S 404S,NJ131018,NJ1319401845,313194,801845,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A93,A Road,5186.125,25410.37436,155.5813466,290056.606,812349.6715,Aviemore,HGL2,289601.3314,812556.3719,2019/P08,31868,200738,112875,4085,0.576131615
Ben Challum [Beinn Challuim],44,2,02B,2.2,1025,3363,50,OL48W 377E 378W,NN386322,NN3868532235,238685,732235,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,5152.521532,201.803688,233901.08,730321.2113,Tyndrum Upper,WHL,233436.849,730135.4975,2019/P08,31868,200738,112875,9093,0.576131615
Ben Chonzie,1,1,01A,1.1,931,3054,51 52,OL47W 368W 379W,NN773308,NN7732430857,277324,730857,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A85,A Road,7041.860941,25153.3061,307.3809755,292594.8747,710869.7742,Gleneagles,SCM4,292898.4307,710472.4661,2019/P08,31868,200738,112875,131,0.576131615
Ben Cruachan,60,3,03C,3.3,1127,3698,50,377W,NN069304,NN0696230472,206962,730472,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A85,A Road,7041.860941,3295.922148,284.6225264,207794.0549,727282.8328,Falls Of Cruachan,OBN2,207920.2798,726799.0278,2019/P08,31868,200738,112875,9093,0.576131615
Ben Hope,266,16,16B,16.2,927,3041,9,447N 447S,NC477501,NC4775050151,247750,950151,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A838,A Road,314.9404762,41549.37155,349.51476,288605.5727,942589.753,Forsinard,WCK,289097.2236,942498.7619,2019/P08,31868,200738,112875,4085,0.576131615
Ben Klibreck - Meall nan Con,267,16,16D,16.4,962.1,3156,16,443,NC585299,NC5853029921,258530,929921,Inverness,277161,851964,89,2,700,0,3121,108,62,3,4085,A836,A Road,844.047619,25485.98345,269.4386792,258280.3205,904436.2396,Lairg,WCK,258275.4221,903936.2636,2019/P08,31868,200738,112875,4085,0.576131615
Ben Lawers,33,2,02B,2.2,1214,3983,51,OL48E 378E,NN635414,NN6355341424,263553,741424,Dundee,337735,729353,3,0,6,0,119,3,0,0,131,A827,A Road,1513.814516,26418.62402,142.312049,242646.566,757575.3068,Rannoch,WHL,242250.8899,757880.9871,2019/P08,31868,200738,112875,131,0.576131615
Ben Lomond,4,1,01C,1.3,974,3196,56,OL39S 364S,NN367028,NN3670702863,236707,702863,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A82,A Road,12752.39019,5306.471597,163.5515203,231617.6972,704365.5437,Arrochar & Tarbet,WHL,231138.1598,704507.1202,2019/P08,31868,200738,112875,9093,0.576131615
Ben Lui [Beinn Laoigh],12,1,01D,1.4,1130,3707,50,OL39N 364N 377E,NN266262,NN2663426288,226634,726288,Glasgow,247644,666892,22,214,2555,0,3669,1636,839,158,9093,A85,A Road,7041.860941,6744.092229,32.027323,232351.6097,729864.5514,Tyndrum Lower,OBN2,232775.5073,730129.7132,2019/P08,31868,200738,112875,9093,0.576131615
